T
100003
100005
100009
100013
100015
100017
100018
100021
100023
100024
100026
100027
100028
100030
100031
100033
100040
100041
100045
100046
100047
100049
100050
100051
100052
100056
100058
100059
100060
100062
100063
100064
100065
100066
100067
100068
105001
105002
105003
105004
105005
105006
105007
105008
105009
105010
105011
105012
105013
105014
105015
105016
105017
105018
105019
105020
105021
105022
105024
105026
110001
110002
110003
110004
110005
110006
110007
110008
110010
110013
110014
110015
110017
110018
110019
110020
110021
110022
110023
110024
110025
110026
110027
110028
110029
110031
110032
110033
110034
110036
110037
110039
110040
110042
110046
110048
110050
110051
110055
110058
110059
110061
110062
110064
110066
110067
110068
110069
110070
110071
110072
110073
110074
110075
110076
110077
110078
110079
110080
110081
130002
130004
130006
130007
130008
190001
190003
190004
190005
271013
271014
300001
300002
300004
300005
300007
300008
300010
300011
300012
300014
300015
300016
300018
300019
300020
300021
300024
300025
300026
300027
300028
300029
300032
300033
300034
300035
300036
300037
300038
300039
300042
300044
300045
300046
300047
300048
300049
300050
300051
300053
300054
300056
300057
300058
300059
300060
300061
300062
300063
300064
300065
300066
300068
300071
300072
300073
300074
300075
300076
300077
300078
300079
300080
300081
300082
300083
300084
300085
300086
300087
300088
300089
300090
300091
300095
300096
300097
300098
300099
300100
300102
300103
300104
300105
300106
300107
300110
300111
300112
300113
300114
300115
300116
300117
300118
300119
300120
300121
320006
320007
320008
360003
360004
360005
360006
360007
360008
360009
360010
380090
380092
380093
380096
380097
380098
380099
380100
380101
380102
380103
380104
380105
380106
380107
380108
380109
380110
380113
380114
380115
380116
380117
380118
380119
380120
380121
380122
380123
380124
380125
380126
380127
430001
430003
430004
430005
430006
430007
430008
430010
430011
430012
430013
430014
430015
430016
430018
430019
430020
430023
430026
430027
430028
480003
480004
480009
480010
500025
500028
500029
500036
500037
500040
500044
500045
500046
600008
600013
600023
600024
600026
600030
600031
600035
600036
600043
600045
600048
630006
630010
630011
630012
630020
630023
630029
630031
630034
630036
630037
630038
630039
630040
630041
630042
630044
630047
630052
630058
630059
630060
630061
630062
630063
630064
630066
630067
630069
630070
630072
630073
630074
630075
630076
630077
630080
630082
630084
630085
630086
630087
630088
630089
630090
630091
630092
630093
630094
630095
630096
630097
630098
630099
630100
630101
630102
710001
710002
710003
710004
710005
710007
710008
710010
710011
710012
710015
710017
710018
710019
710020
710021
710022
710023
710024
710026
710027
710028
710029
710030
710031
710032
710033
710034
730001
730002
730003
730004
730005
730006
730008
730009
730010
730011
730013
730016
730017
730018
730019
730021
730022
730023
730024
730025
730026
730029
730030
730031
730032
730033
730034
730035
730037
730038
730039
730040
730041
730042
730043
730044
730045
730046
730047
730048
730049
730050
730051
730052
730053
730054
730055
730057
730058
730059
730061
730062
730063
730064
730065
730066
730067
730068
730069
730071
730072
730073
730075
730076
730077
730078
730079
730080
730081
730082
730083
730084
730085
730086
730087
730088
730089
730091
730092
730093
730094
730095
730097
730098
730099
730101
730102
730103
730104
730105
730106
730107
730108
730109
730111
730112
730125
730126
730127
760016
760021
760022
760023
760030
760031
760034
760035
760036
760042
760043
760044
760046
760047
760048
760050
760051
760057
760058
760059
760061
760063
760064
760069
760070
760072
760073
760074
763002
763004
763005
800001
800002
800004
800007
800008
800009
800011
800012
800016
800018
800019
800020
800022
800023
800025
800026
800027
800028
800029
800030
800031
800034
800035
800036
800037
800038
800039
800040
800041
800044
800051
800053
800056
800058
800059
800060
800061
800062
800063
800065
800067
800071
800072
800074
800075
800079
800081
800082
800084
800085
800086
800087
800088
800089
800090
800091
800092
800093
800094
800095
800096
800097
800098
800102
800103
800104
800105
800106
800107
800108
800109
800110
830001
830004
830006
830007
830008
830012
830013
830014
830021
830023
830034
830036
830038
830039
830040
830045
830047
830050
830051
830053
830054
830055
830056
830057
830059
830060
830061
830062
830063
830064
830066
830067
830068
830069
830072
830073
830074
830075
830076
830077
830078
830079
830080
830081
830083
830084
830085
830086
830087
830088
830089
830090
830091
830092
830093
830095
830096
830097
830099
830100
830101
830102
830103
830104
830105
830106
830107
830111
830112
830113
830114
830115
830116
830117
830118
830119
830120
830121
830122
830123
830124
830125
830126
830127
830128
830129
830130
830131
830132
830133
830134
830135
830136
830137
830138
830139
830140
830141
830142
830145
850003
850004
850005
850006
850007
850008
850009
850010
850012
850013
850014
850015
850016
850017
890001
890002
900001
900002
900003
900009
900010
900011
900012
900013
900014
900015
900017
900018
900019
900020
900021
900022
900023
900024
900025
900026
900027
900029
900030
900031
900033
900034
900035
900036
900037
900038
900044
900048
901001
901002
901003
901004
901006
901007
920002
920003
920005
920006
920007
920008
920009
920010
920011
920013
920014
920015
920016
920017
920018
920019
942001
942002
942003
942004
942005
942006
942007
942008
942009
970001
970002
970003
970004
970005
